feature,weight
avg_word_len,-1.3025003915969415
bracket_rate,-1.2860814826523035
system_ref_rate,0.8381503097888148
jailbreak_name_rate,0.5650238049770133
log_length,0.5153335457259902
instruction_rate,0.3341009968468968
hypothetical_rate,-0.28763067237361756
caps_ratio,0.2675009424219266
obfuscation_char_rate,0.15032046115409392
avg_sentence_len,0.11833802549708611
special_ratio,0.11711552034394382
persona_rate,0.10904307657039826
unique_ratio,0.040107327145777645
obfuscation_rate,0.01844781191761812
